药物id,对照组索引,x_6索引,x_24索引,剂量大小
Cc1ccc(cc1)S(=O)(=O)\C=C\C#N,DOS048_A549_24H_X1_F3B4_DUO52HI53LO:E17-1,CPC006_A549_6H_X2_B3_DUO52HI53LO:I20-1,CPC006_A549_24H_X2_B3_DUO52HI53LO:I20-1,10.0
Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1,DOSBIO002_A549_24H_X2_B11:N17-1,CPC006_A549_6H_X5_B4_DUO52HI53LO:O06-1,CPC006_A549_24H_X3_B3_DUO52HI53LO:O06-1,10.0
Ic1cc(ncn1)-c1ccccc1,PCLB003_HA1E_24H_X2_B13:A03-1,CPC006_HA1E_6H_X4_B4_DUO52HI53LO:D01-1,CPC006_HA1E_24H_X3_B3_DUO52HI53LO:D01-1,40.0
CN(C)Cc1ccc(cc1)-c1nc2cccc3C(=O)NCCn1c23,REP.A028_HA1E_24H_X1_B25:J18-2,CPC006_HA1E_6H_X5_B4_DUO52HI53LO:E09-1,CPC006_HA1E_24H_X1.A2_B4_DUO52HI53LO:E09-1,25.0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,REP.A004_HA1E_24H_X2_B22:A03-2,CPC006_HA1E_6H_X2_B3_DUO52HI53LO:P01-1,CPC006_HA1E_24H_X1.A2_F1B3_DUO52HI53LO:P01-1,0.08
CCCCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C=O,RAD001_HCC515_6H_X3_F1B5_DUO52HI53LO:A09-1,CPC006_HCC515_6H_X2_B5_DUO52HI53LO:K21-1,CPC006_HCC515_24H_X3_B4_DUO52HI53LO:K21-1,10.0
CCOC(=O)[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1,LJP006_HCC515_24H_X1_B19:N20-2,CPC006_HCC515_6H_X2_B4_DUO52HI53LO:D05-1,CPC006_HCC515_24H_X1_B4_DUO52HI53LO:D05-1,88.8
CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,PCLB001_HCC515_24H_X1_F2B6_DUO52HI53LO:C02-1,CPC006_HCC515_6H_X1_B4_DUO52HI53LO:B20-1,CPC006_HCC515_24H_X1_B4_DUO52HI53LO:B20-1,28.96
CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,CPC009_HCC515_6H_X3_B4_DUO52HI53LO:I16-1,CPC006_HCC515_6H_X3_B4_DUO52HI53LO:I14-1,CPC006_HCC515_24H_X5_B1_DUO52HI53LO:I14-1,1.0
CCOC(=O)C1=C(C)N=c2s\c(=C/c3cc(Br)c(O)c(Br)c3)c(=O)n2C1c1ccc2OCOc2c1,RAD001_HCC515_6H_X3_F1B5_DUO52HI53LO:C02-1,CPC006_HCC515_6H_X2_B4_DUO52HI53LO:B11-1,CPC006_HCC515_24H_X4_F1B3_DUO52HI53LO:B11-1,40.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,LJP007_HCC515_24H_X1_B20:A06-2,CPC014_HCC515_6H_X3_F1B3_DUO52HI53LO:B04-1,CPC006_HCC515_24H_X5_B1_DUO52HI53LO:B04-1,10.0
CC(C)(C)c1ccc2cc(C#N)c(C#N)cc2c1,CPC011_HT29_6H_X4_B5_DUO52HI53LO:I02-1,CPC006_HT29_6H_X1_B3_DUO52HI53LO:P04-1,CPC006_HT29_24H_X5_B4_DUO52HI53LO:P04-1,40.0
CNCc1ccc(cc1)-c1[nH]c2cc(F)cc3C(=O)NCCc1c23,DOS033_HT29_24H_X1_F2B4_DUO52HI53LO:O12-1,CPC006_HT29_6H_X3_B3_DUO52HI53LO:C11-1,CPC006_HT29_24H_X5_B4_DUO52HI53LO:C11-1,10.0
CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc5ccc(O)cc15,CPC012_MCF7_6H_X5_F1B5_DUO52HI53LO:E05-1,CPC006_MCF7_6H_X5_B4_DUO52HI53LO:L23-1,CPC006_MCF7_24H_X3_F1B3_DUO52HI53LO:L23-1,0.35
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,CPD003_MCF7_24H_X1_B6_DUO52HI53LO:M10-1,CPC005_MCF7_6H_X2_F1B3_DUO52HI53LO:A03-1,CPC014_MCF7_24H_X5_F2B4_DUO52HI53LO:A03-1,10.0
CCC1NC(=O)C([C@H](O)[C@H](C)C/C=C/C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,HOG003_MCF7_6H_X1_F1B10:P24-1,CPC017_MCF7_6H_X3_B4_DUO52HI53LO:J08-1,CPC006_MCF7_24H_X5_B4_DUO52HI53LO:G17-1,10.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,REP.A022_MCF7_24H_X2_B23:J14-2,CPC018_MCF7_6H_X1_B4_DUO52HI53LO:A04-1,CPC006_MCF7_24H_X2_B4_DUO52HI53LO:A04-1,10.0
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)C4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,LJP007_PC3_24H_X1_B20:N20-2,CPC005_PC3_6H_X2_B3_DUO52HI53LO:M24-1,CPC005_PC3_24H_X3_B4_DUO52HI53LO:M24-1,10.0
Clc1ccc(cc1)-c1nc2sccn2c1\C=N\OCc1ccc(Cl)c(Cl)c1,DOS047_PC3_24H_X3_F3B4_DUO52HI53LO:G19-1,CPC005_PC3_6H_X5_F1B5_DUO52HI53LO:J03-1,CPC005_PC3_24H_X3_B4_DUO52HI53LO:J03-1,10.0
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,CPC009_PC3_6H_X3_F1B3_DUO52HI53LO:I16-1,CPC005_PC3_6H_X5_F1B5_DUO52HI53LO:A05-1,CPC006_PC3_24H_X3_F1B3_DUO52HI53LO:G21-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,REP.A012_PC3_24H_X1_B22:A05-2,CPC006_PC3_6H_X2_B3_DUO52HI53LO:B03-1,CPC007_PC3_24H_X2_B5_DUO52HI53LO:D01-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,REP.A012_PC3_24H_X1_B22:A05-2,AML001_PC3_6H_X2_F1B10:E17-1,CPC007_PC3_24H_X2_B5_DUO52HI53LO:D01-1,10.0
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)c3ccccc3,CPC010_VCAP_6H_X3_F1B4_DUO52HI53LO:I02-1,CPC005_VCAP_6H_X1_F1B3_DUO52HI53LO:M08-1,CPC005_VCAP_24H_X5_F2B4_DUO52HI53LO:M08-1,10.0
COc1c2OCOc2cc3CCN(C)Cc13,DOS030_VCAP_24H_X1_B2_DUO53HI52LO:K08-1,CPC005_VCAP_6H_X4_B5_DUO52HI53LO:I17-1,CPC005_VCAP_24H_X3_B3_DUO52HI53LO:I17-1,10.0
O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1,CPC004_VCAP_6H_X3_F1B5_DUO52HI53LO:B17-1,CPC005_VCAP_6H_X2_F1B3_DUO52HI53LO:O19-1,ERG011_VCAP_24H_X2_B7_DUO52HI53LO:C23-1,10.0
O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1,DOS005_VCAP_24H_X2_B2_DUO53HI52LO:H20-1,CPC005_VCAP_6H_X4_B5_DUO52HI53LO:O19-1,DOS002_VCAP_24H_X2_B2_DUO53HI52LO:I05-1,10.0
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,CPC011_VCAP_24H_X1_B5_DUO52HI53LO:O01-1,CPC020_VCAP_6H_X1_F1B3_DUO52HI53LO:M18-1,CPC005_VCAP_24H_X4_F1B5_DUO52HI53LO:K01-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,CPC003_VCAP_6H_X3_B5_DUO52HI53LO:B18-1,DOS025_VCAP_6H_X5_F1B6_DUO52HI53LO:M09-1,CPC005_VCAP_24H_X2_B3_DUO52HI53LO:A03-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,BRAF001_A375_6H_X3_B10:O10-1,CPC008_A375_6H_X1_F1B3_DUO52HI53LO:B04-1,DOS043_A375_24H_X3_F4B4_DUO52HI53LO:B04-1,10.0
COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]2Oc3c(NC(=O)Nc4ccccc4)cccc3C(=O)N(C[C@H]2C)[C@@H](C)CO,REP.A019_A375_24H_X1_B24:A05-2,CPC012_A375_6H_X5_B5_DUO52HI53LO:J04-1,CPC008_A375_24H_X3_F1B6_DUO52HI53LO:O17-1,10.0
NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,DOS054_A549_24H_X2_F2B3_DUO52HI53LO:F10-1,CPC007_A549_6H_X3_B3_DUO52HI53LO:A17-1,CPC011_A549_24H_X5_F1B6_DUO52HI53LO:E19-1,10.0
COc1ccccc1Nc2nc(nc(n2)N3CCOCC3)N4CCCC4,DOS051_A549_24H_X2_F2B3_DUO52HI53LO:F01-1,CPC007_A549_6H_X3_B3_DUO52HI53LO:N15-1,CPC007_A549_24H_X2_B3_DUO52HI53LO:N15-1,10.0
Oc1ccc(cc1O)C(=O)CSc2nnc(c3cccc(Cl)c3)n2CC=C,DOS034_A549_24H_X3_F2B4_DUO52HI53LO:L07-1,CPC007_A549_6H_X3_B3_DUO52HI53LO:M21-1,CPC007_A549_24H_X1_B3_DUO52HI53LO:M21-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,REP.A028_HA1E_24H_X2_B25:A04-2,CPC010_HA1E_6H_X2_B4_DUO52HI53LO:D02-1,CPC007_HA1E_24H_X2_B3_DUO52HI53LO:H18-1,10.0
Cc1ccc(Cn2ncc3c(ncnc23)N4CCN(CC4)c5ccccc5C)cc1,LJP005_HT29_24H_X3_B19:J15-2,CPC007_HT29_6H_X3_B3_DUO52HI53LO:F07-1,CPC007_HT29_24H_X2_B3_DUO52HI53LO:F07-1,10.0
Cc1ccc(cc1)S(=O)(=O)n1c(N)nc2cc(C)c(C)cc12,CPC006_MCF7_6H_X5_B4_DUO52HI53LO:M09-1,CPC007_MCF7_6H_X1.A2_F1B3_DUO52HI53LO:F06-1,CPC007_MCF7_24H_X5_B5_DUO52HI53LO:F06-1,10.0
Clc1ccc(cc1)c2nc(C#N)c(NCC=C)o2,REP.A012_MCF7_24H_X2_B22:J18-2,CPC007_MCF7_6H_X1.A2_F1B3_DUO52HI53LO:I10-1,CPC007_MCF7_24H_X4_B5_DUO52HI53LO:I10-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,REP.A012_MCF7_24H_X3_B22:J14-2,CPC014_MCF7_6H_X4_F1B5_DUO52HI53LO:B03-1,CPC007_MCF7_24H_X3_B5_DUO52HI53LO:D01-1,10.0
COc1ccc(Cl)cc1Nc2nnc(s2)c3ccncc3,REP.A007_PC3_24H_X1_B22:A05-2,CPC007_PC3_6H_X4_F1B5_DUO52HI53LO:B07-1,CPC020_PC3_24H_X5_B5_DUO52HI53LO:E12-1,10.0
CCn1c(=O)c([N+](=O)[O-])c(Cl)c2ccccc12,REP.A013_PC3_24H_X3_B22:F10-2,CPC009_PC3_6H_X3_B3_DUO52HI53LO:I14-1,CPC009_PC3_24H_X2_F1B4_DUO52HI53LO:I14-1,10.0
C1Cc2c(CN1)scc2-c1nc2ccccc2s1,REP.A007_PC3_24H_X2_B22:F11-2,CPC009_PC3_6H_X3_B3_DUO52HI53LO:E11-1,CPC009_PC3_24H_X1_F1B4_DUO52HI53LO:E11-1,10.0
C1Cc2c(CN1)scc2-c1nc2ccccc2s1,CPC019_PC3_6H_X1_B4_DUO52HI53LO:M09-1,CPC009_PC3_6H_X4_F1B5_DUO52HI53LO:E11-1,CPC009_PC3_24H_X2_F1B4_DUO52HI53LO:E11-1,10.0
OC1(Cc2ccccc2)CCN(CC1)c1ncnc2sccc12,PCLB001_PC3_24H_X2_F2B6_DUO52HI53LO:P05-1,CPC009_PC3_6H_X1_B3_DUO52HI53LO:L12-1,CPC009_PC3_24H_X4_B5_DUO52HI53LO:L12-1,10.0
FC(F)(F)c1cccc(c1)C(=O)OCC#CCSc1nnc(o1)-c1cccc2ccccc12,CPC014_PC3_24H_X5.L2_F2B5_DUO52HI53LO:N09-1,CPC009_PC3_6H_X3_F1B3_DUO52HI53LO:M07-1,CPC009_PC3_24H_X4_B5_DUO52HI53LO:M07-1,10.0
Brc1ccc(cc1)-c1csc(n1)N1CCC(CC1)C(=O)NCCCc1ccccc1,DEB001_PC3_6H_X1_F1B6_DUO52HI53LO:M02-1,CPC009_PC3_6H_X2_B3_DUO52HI53LO:F20-1,CPC009_PC3_24H_X2_F1B4_DUO52HI53LO:F20-1,10.0
OP(O)(=O)c1ccc2-c3ccccc3C(=O)c2c1,REP.A025_PC3_24H_X1_B23:F08-2,CPC009_PC3_6H_X3_F1B3_DUO52HI53LO:F04-1,CPC009_PC3_24H_X3_F1B4_DUO52HI53LO:F04-1,10.0
O=C(Cc1ccc2OCOc2c1)N1CCC(CC1)n1nc(oc1=O)-c1ccccc1,REP.A009_PC3_24H_X1_B24:F07-2,CPC009_PC3_6H_X3.A2_B4_DUO52HI53LO:M04-1,CPC009_PC3_24H_X3_F1B4_DUO52HI53LO:M04-1,10.0
CC(=O)N1CCN(CC1)c1cc(nc2cc(nn12)-c1ccccc1)-c1ccco1,REP.A022_PC3_24H_X3_B23:F07-2,CPC009_PC3_6H_X5_F1B5_DUO52HI53LO:L07-1,CPC009_PC3_24H_X4_B5_DUO52HI53LO:L07-1,10.0
Oc1cccc2cc(cnc12)-c1ccncc1,CPC019_PC3_24H_X2_F1B4_DUO52HI53LO:F05-1,CPC007_PC3_6H_X3_B3_DUO52HI53LO:D08-1,CPC007_PC3_24H_X5_F1B5_DUO52HI53LO:D08-1,10.0
CC(C)(C)CCNc1nc(nnc1-c1ccccc1)-c1ccccn1,CPC019_PC3_6H_X4_F1B4_DUO52HI53LO:I16-1,CPC008_PC3_6H_X2_B3_DUO52HI53LO:K19-1,CPC008_PC3_24H_X1_B5_DUO52HI53LO:K19-1,10.0
NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12,CPC010_PC3_6H_X1_B3_DUO52HI53LO:P01-1,CPC009_PC3_6H_X3.A2_B4_DUO52HI53LO:G23-1,CPD001_PC3_24H_X3_B6_DUO52HI53LO:G01-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,CPC011_PC3_24H_X4_B5_DUO52HI53LO:G02-1,CPC008_PC3_6H_X3_B3_DUO52HI53LO:A03-1,CPC009_PC3_24H_X3_F1B4_DUO52HI53LO:A03-1,10.0
COc1cc(ccc1OC(=O)C)C2=CCN(CC2)C(=O)C,CPC010_VCAP_6H_X3_F1B4_DUO52HI53LO:H02-1,CPC007_VCAP_6H_X3_F1B4_DUO52HI53LO:C07-1,CPC007_VCAP_24H_X4_F1B5_DUO52HI53LO:C07-1,10.0
CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)C(C)(Oc1ccc(O)cc1)P(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C,CPC011_VCAP_6H_X2_F2B4_DUO52HI53LO:O01-1,CPC006_VCAP_6H_X3_B4_DUO52HI53LO:O01-1,CPC006_VCAP_24H_X4_B4_DUO52HI53LO:O01-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,CPC006_VCAP_24H_X4_B4_DUO52HI53LO:J15-1,DOS030_VCAP_6H_X3_F1B6_DUO52HI53LO:C12-1,CPC006_VCAP_24H_X1_B3_DUO52HI53LO:B04-1,10.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,DOS016_VCAP_6H_X2_F1B6_DUO52HI53LO:J05-1,DOS004_VCAP_6H_X3_B3_DUO52HI53LO:E18-1,CPC007_VCAP_24H_X2_B3_DUO52HI53LO:C02-1,10.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,CPC006_VCAP_24H_X3_B3_DUO52HI53LO:J16-1,ERG014_VCAP_6H_X3_B10_DUO52HI53LO:O21-1,CPC008_VCAP_24H_X5_F1B5_DUO52HI53LO:A04-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,REP.A023_A375_24H_X2_B23:B06-2,CPC012_A375_6H_X5_B5_DUO52HI53LO:A03-1,DOS054_A375_24H_X1_F2B3_DUO52HI53LO:A03-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,CPC019_A375_6H_X5_B5_DUO52HI53LO:I16-1,CPC011_A375_6H_X1_B3_DUO52HI53LO:D02-1,BRAF001_A375_24H_X1_B10:E13-1,10.0
NCCCCCNC(=O)[C@H]1C[C@@H]2N([C@H]1c3ccc(O)cc3)C(=O)CNC2=O,DOS057_A549_24H_X2_F2B3_DUO52HI53LO:A13-1,CPC013_A549_6H_X1_F1B3_DUO52HI53LO:I07-1,CPC013_A549_24H_X1_F1B6_DUO52HI53LO:I07-1,10.0
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,DOS059_A549_24H_X1_F3B4_DUO52HI53LO:G04-1,CPC011_A549_6H_X1_F1B3_DUO52HI53LO:O06-1,CPC011_A549_24H_X3_F1B6_DUO52HI53LO:O06-1,10.0
COc1cc(C)nn1-c1nc(C)cc(OC)n1,HOG001_A549_24H_X2_F1B10:M13-1,CPC010_A549_6H_X3_F1B3_DUO52HI53LO:A21-1,CPC018_A549_24H_X2_F1B6_DUO52HI53LO:F03-1,10.0
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,DOS056_A549_24H_X2_F2B3_DUO52HI53LO:J05-1,CPC011_A549_6H_X1_F1B3_DUO52HI53LO:P17-1,CPC011_A549_24H_X1_F1B6_DUO52HI53LO:P17-1,10.0
CC(C)CC(N(C)C)C1(CCC1)c1ccc(Cl)cc1,DOS039_A549_24H_X3_F3B5_DUO52HI53LO:O12-1,CPC011_A549_6H_X2_F1B3_DUO52HI53LO:E24-1,CPC011_A549_24H_X1_F1B6_DUO52HI53LO:E24-1,10.0
CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,HOG002_A549_24H_X3_F1B10:P02-1,CPC011_A549_6H_X3_F1B3_DUO52HI53LO:E16-1,CPC011_A549_24H_X3_F1B6_DUO52HI53LO:E16-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,DOS054_A549_24H_X1_F2B3_DUO52HI53LO:J05-1,CPC017_A549_6H_X2_F1B4_DUO52HI53LO:A03-1,CPC011_A549_24H_X1_F1B6_DUO52HI53LO:C01-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,LJP006_A549_24H_X1_B19:F09-2,RAD001_A549_6H_X2_F1B5_DUO52HI53LO:B04-1,CPC011_A549_24H_X3_F1B6_DUO52HI53LO:D02-1,10.0
CC(Sc1ccc(C)cc1)C(=O)Nc2nc[nH]n2,REP.A024_MCF7_24H_X3_B23:F12-2,CPC010_MCF7_6H_X3_B3_DUO52HI53LO:C07-1,CPC010_MCF7_24H_X3_B5_DUO52HI53LO:C07-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,MUC.CP003_MCF7_6H_X2_B7_DUO52HI53LO:M17-1,CPC011_MCF7_6H_X1_B3_DUO52HI53LO:C01-1,PCLB002_MCF7_24H_X3_B13:I13-1,10.0
CC(\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,DOS034_MCF7_24H_X2_F2B4_DUO52HI53LO:L24-1,CPC011_MCF7_6H_X1_B3_DUO52HI53LO:D01-1,CPC019_MCF7_24H_X3_F2B4_DUO52HI53LO:B03-1,10.0
OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,REP.A014_MCF7_24H_X1_B23:A06-2,CPD003_MCF7_6H_X2_B6_DUO52HI53LO:I20-1,CPC011_MCF7_24H_X5_B5_DUO52HI53LO:P06-1,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,LJP008_NEU_24H_X1_B21:F12-2,NMH002_NEU_6H_X1_B6_DUO52HI53LO:A03-1,CPC012_NEU_24H_X2_B7_DUO52HI53LO:A03-1,10.0
CCCN(CCC)c1nc(nc2cc(OC)c(OC)cc12)N3CCCC3,REP.A008_PC3_24H_X2_B24:A03-2,CPC012_PC3_6H_X2_B4_DUO52HI53LO:H22-1,CPC012_PC3_24H_X2_B5_DUO52HI53LO:H22-1,10.0
O=C(NNC(=O)c1ccccc1)c2csc(n2)c3ccccc3,RAD001_PC3_6H_X2_F1B5_DUO52HI53LO:J24-1,CPC010_PC3_6H_X5_F1B5_DUO52HI53LO:C04-1,CPC010_PC3_24H_X2_B5_DUO52HI53LO:C04-1,10.0
COc1ccc(NC(=O)Nc2ccc3O[C@@H](CN(C)C(=O)Nc4ccccc4)[C@H](C)CN([C@@H](C)CO)C(=O)Cc3c2)cc1,DOSBIO002_PC3_24H_X3_B11:N17-1,CPC012_PC3_6H_X2_B4_DUO52HI53LO:J03-1,CPC012_PC3_24H_X1_F2B4_DUO52HI53LO:J03-1,10.0
COc1cc(\C=N\NC(=O)c2sc(N)nc2C)ccc1O,DOS046_PC3_24H_X3_F2B3_DUO52HI53LO:M14-1,CPC012_PC3_6H_X4_F1B5_DUO52HI53LO:I12-1,CPC012_PC3_24H_X2_B5_DUO52HI53LO:I12-1,10.0
C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c1cccc2CC(C)CNc12,CPC013_PC3_6H_X3_B4_DUO52HI53LO:M09-1,CPC011_PC3_6H_X3_B3_DUO52HI53LO:N07-1,CPD002_PC3_24H_X3_B6_DUO52HI53LO:D21-1,10.0
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(=O)C)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N5CCCCC5)[N+]6(C)CCCCC6,DOS034_PC3_24H_X2_F2B4_DUO52HI53LO:K08-1,CPC010_PC3_6H_X1_B3_DUO52HI53LO:J24-1,CPC010_PC3_24H_X2_B5_DUO52HI53LO:J24-1,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,REP.A002_PC3_24H_X3_B22:B05-2,CPC011_PC3_6H_X4_B5_DUO52HI53LO:D02-1,DOSBIO002_PC3_24H_X3_B11:M09-1,10.0
Clc1ccc(CN(CCCNC(=S)NCCCc2c[nH]cn2)c3ccc(Br)cn3)cc1Cl,DOS009_VCAP_24H_X1_B2_DUO52HI53LO:G04-1,CPC010_VCAP_6H_X3_F1B4_DUO52HI53LO:B03-1,CPC010_VCAP_24H_X2_F1B5_DUO52HI53LO:B03-1,10.0
CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@H](CN(C)S(=O)(=O)c3c(C)noc3C)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1,DOS003_VCAP_6H_X3_B3_DUO52HI53LO:D12-1,CPC012_VCAP_6H_X4_B5_DUO52HI53LO:I13-1,CPC012_VCAP_24H_X4_B5_DUO52HI53LO:I13-1,10.0
Fc1ccc(cc1)C(=O)OCC#CCSc1nnc(o1)-c1ccc(Cl)cc1,DOS008_VCAP_6H_X1_F1B6_DUO52HI53LO:F10-1,CPC009_VCAP_6H_X5_B5_DUO52HI53LO:C22-1,CPC009_VCAP_24H_X2_F1B5_DUO52HI53LO:C22-1,10.0
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2c(C)noc2C)Oc3c(NC(=O)c4cnccn4)cccc3C1=O,DOS020_VCAP_6H_X2_F1B6_DUO52HI53LO:G19-1,CPC012_VCAP_6H_X3_F1B4_DUO52HI53LO:N13-1,CPC012_VCAP_24H_X2_B5_DUO52HI53LO:N13-1,10.0
Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1,ERG012_VCAP_6H_X2.A2_B11:P15-1,CPC009_VCAP_6H_X5_B5_DUO52HI53LO:G06-1,CPC009_VCAP_24H_X4_F1B5_DUO52HI53LO:G06-1,10.0
CO[C@H]1O[C@H](CO)[C@@H](OC(=O)c2c(OC)cccc2OC)[C@@H]2OC(=O)[C@@H](Cc3ccccc3)C\C=C\C[C@H](Cc3ccccc3)C(=O)O[C@@H]12,ERG015_VCAP_24H_X1_B10_DUO52HI53LO:N23-1,CPC012_VCAP_6H_X3_F1B4_DUO52HI53LO:L16-1,CPC012_VCAP_24H_X4_B5_DUO52HI53LO:L16-1,10.0
Cc1occc1CNc1ncnc2ccc(cc12)-c1ccc2OCOc2c1,CPC011_VCAP_6H_X4_F1B5_DUO52HI53LO:K02-1,CPC009_VCAP_6H_X4_B5_DUO52HI53LO:G04-1,CPC009_VCAP_24H_X1_B5_DUO52HI53LO:G04-1,10.0
Cc1occc(=O)c1O,DOS005_VCAP_6H_X2_B3_DUO52HI53LO:M10-1,CPC010_VCAP_6H_X3_F1B4_DUO52HI53LO:L21-1,CPC010_VCAP_24H_X4_F1B5_DUO52HI53LO:L21-1,10.0
Oc1ccc(NC(=O)COc2ccc(Cl)cc2)cc1c3nc4ccccc4o3,ERG012_VCAP_24H_X2.A2_B7_DUO52HI53LO:E23-1,CPC012_VCAP_6H_X4_B5_DUO52HI53LO:N11-1,CPC012_VCAP_24H_X3_F1B5_DUO52HI53LO:N11-1,10.0
Nc1cc2c3ccccc3ccc2c4ccccc14,ERG012_VCAP_24H_X3.A2_B7_DUO52HI53LO:N23-1,CPC012_VCAP_6H_X3_F1B4_DUO52HI53LO:L18-1,CPC012_VCAP_24H_X4_B5_DUO52HI53LO:L18-1,10.0
OC1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5OC1[C@]2(CCN3CC6CCC6)c54,ERG011_VCAP_24H_X2_B7_DUO52HI53LO:G10-1,CPC011_VCAP_6H_X3_B5_DUO52HI53LO:A03-1,CPC011_VCAP_24H_X3_B5_DUO52HI53LO:A03-1,10.0
COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O,ERG011_VCAP_6H_X3_B7_DUO52HI53LO:N18-1,CPC014_VCAP_6H_X2_F1B3_DUO52HI53LO:A04-1,CPC011_VCAP_24H_X4_B5_DUO52HI53LO:C02-1,10.0
